RelativePath,Bytes,SHA256
app/Microsoft.Extensions.Configuration.CommandLine.dll,25384,5b85cf6e3d3b6c5ec48192ff9202121b360d2e2c18c1d27c4725fbf689f1a3fd
app/Microsoft.Extensions.Configuration.EnvironmentVariables.dll,21840,4968b1713382a9683acdd3d70b783316646cc73b9da1624b70e058298d07b909
app/Microsoft.Extensions.Configuration.FileExtensions.dll,28456,3d7015f88ca1c903e288eb73cea65baef251cb41ed99e4cbb607b18816d32aac
app/Microsoft.Extensions.Configuration.Json.dll,27944,2b72db01838c8ba1f221ac767d28f2f67a0c63be581910bcfef2b0832bed115f
app/Microsoft.Extensions.Configuration.UserSecrets.dll,26448,f117a8b446857fcc2760d17255c6623d94f9dbbb11c7893b4276fd889042f711
app/Microsoft.Extensions.Configuration.dll,44880,7811862ac6c2456e1efd7ff300e6567ff373fbccf4266a853dac376b5b8c19c3
app/Microsoft.Extensions.DependencyInjection.Abstractions.dll,65832,43497d8f23b82159295933effe92c82447469b60cdbefcca4a62232e4ebbca99
app/Microsoft.Extensions.DependencyInjection.dll,95528,21a7fd5e0dba0f36c5d7643e572a11aaed01ac901532bd7b96a919eb02749389
app/Microsoft.Extensions.Diagnostics.Abstractions.dll,31056,629fcc3e78969fba52d7bf7ab21eaea2a7711fa4e0b4b91bd37ad8b35816d60c
app/Microsoft.Extensions.Diagnostics.dll,36136,e66c773c8976cf0c056b360ecf87637f28639810189bdf4d6bb579db6a3e3466
app/Microsoft.Extensions.FileProviders.Abstractions.dll,23336,c823eea339af2beca2c3004bb077118d0db6379f908e7324e59461ef2c08e4b6
app/Microsoft.Extensions.FileProviders.Physical.dll,45392,ab90ea779dad07f90a64d69ac7037befe97f3f70d025596d339ec0814401e86c
app/Microsoft.Extensions.FileSystemGlobbing.dll,47952,c6cd6e791178b3f99f5ff4b46e51955edb92e6fa76ed6709e778e52612a0594e
app/Microsoft.Extensions.Hosting.Abstractions.dll,54056,97d564d9adf28cdbc2e6ac36ba6bf242ae70edc8b6c8841387370aaaf095de7e
